ds,Target_Inventory,Actual_Inventory,Unit_Cost,Holding_Cost
2020-03-31,148488.94612333685,148643.9,1.0,2972.878
2020-06-30,140293.84095082432,131321.7,1.0,2626.434
2020-09-30,149883.30161070614,154661.4,1.0,3093.228
2020-12-31,159612.2904463855,160510.9,1.0,3210.218
2021-03-31,158035.4661139567,157636.5,1.0,3152.73
2021-06-30,159460.61807113013,164407.1,1.0,3288.1420000000003
2021-09-30,159949.74128858303,156264.8,1.0,3125.296
2021-12-31,173396.2149797466,173942.9,1.0,3478.858
2022-03-31,169051.60094187647,170481.4,1.0,3409.628
2022-06-30,173720.11118641455,172877.2,1.0,3457.5440000000003
2022-09-30,171723.61753762251,175744.7,1.0,3514.8940000000002
2022-12-31,182722.06616320927,183879.0,1.0,3677.58
2023-03-31,178602.8772089003,178042.9,1.0,3560.858
2023-06-30,178696.01065367338,177598.1,1.0,3551.962
2023-09-30,179401.5336211148,177945.8,1.0,3558.9159999999997
2023-12-31,184740.06304300483,183776.6,1.0,3675.532
2024-03-31,178790.81259065832,178952.7,1.0,3579.054
2024-06-30,169133.727950891,175081.3,1.0,3501.6259999999997
2024-09-30,177245.14344065485,173598.1,1.0,3471.962
2024-12-31,185496.08711000212,183845.4,1.0,3676.908
2025-03-31,182473.34902200341,181692.3,1.0,3633.846
2025-06-30,182436.63532375376,,1.0,
2025-09-30,181449.1839733193,,1.0,
2025-12-31,193419.08310925268,,1.0,
2026-03-31,187631.34196297475,,1.0,
2026-06-30,190847.9318521149,,1.0,
2026-09-30,187395.9773072555,,1.0,
2026-12-31,198393.6396602033,,1.0,
2027-03-31,194274.21888730733,,1.0,
